timestamp,event_id,shelf_name,event_type,item_count,frame_number,evidence_filename,details
2026-07-27 20:51:08,Main_Display_Shelf_LOW_STOCK_1194,Main_Display_Shelf,LOW_STOCK,3,1194,shelf_Main_Display_Shelf_LOW_STOCK_20260727_205108_frame_1194.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 3 items.
2026-07-27 20:51:08,Main_Display_Shelf_EMPTY_1195,Main_Display_Shelf,EMPTY,0,1195,shelf_Main_Display_Shelf_EMPTY_20260727_205108_frame_1195.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:51:30,Upper_Shelf_INITIAL_STOCK_0,Upper_Shelf,INITIAL_STOCK,0,0,shelf_Upper_Shelf_INITIAL_STOCK_20260727_205130_frame_0.jpg,Initial stock level: 0 items.
2026-07-27 20:51:30,Upper_Shelf_EMPTY_0,Upper_Shelf,EMPTY,0,0,shelf_Upper_Shelf_EMPTY_20260727_205130_frame_0.jpg,Initial stock is critical: EMPTY.
2026-07-27 20:51:30,Lower_Shelf_INITIAL_STOCK_0,Lower_Shelf,INITIAL_STOCK,0,0,shelf_Lower_Shelf_INITIAL_STOCK_20260727_205130_frame_0.jpg,Initial stock level: 0 items.
2026-07-27 20:51:30,Lower_Shelf_EMPTY_0,Lower_Shelf,EMPTY,0,0,shelf_Lower_Shelf_EMPTY_20260727_205130_frame_0.jpg,Initial stock is critical: EMPTY.
2026-07-27 20:51:39,Upper_Shelf_LOW_STOCK_163,Upper_Shelf,LOW_STOCK,2,163,shelf_Upper_Shelf_LOW_STOCK_20260727_205139_frame_163.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 2 items.
2026-07-27 20:51:39,Lower_Shelf_FULLY_STOCKED_163,Lower_Shelf,FULLY_STOCKED,7,163,shelf_Lower_Shelf_FULLY_STOCKED_20260727_205139_frame_163.jpg,Stock transitioned from EMPTY to FULLY_STOCKED. Count: 7 items.
2026-07-27 20:51:39,Upper_Shelf_NORMAL_165,Upper_Shelf,NORMAL,3,165,shelf_Upper_Shelf_NORMAL_20260727_205139_frame_165.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:51:40,Upper_Shelf_FULLY_STOCKED_192,Upper_Shelf,FULLY_STOCKED,4,192,shelf_Upper_Shelf_FULLY_STOCKED_20260727_205140_frame_192.jpg,Stock transitioned from NORMAL to FULLY_STOCKED. Count: 4 items.
2026-07-27 20:51:41,Upper_Shelf_NORMAL_209,Upper_Shelf,NORMAL,3,209,shelf_Upper_Shelf_NORMAL_20260727_205141_frame_209.jpg,Stock transitioned from FULLY_STOCKED to NORMAL. Count: 3 items.
2026-07-27 20:51:42,Upper_Shelf_CUSTOMER_INTERACTION_222,Upper_Shelf,CUSTOMER_INTERACTION,3,222,shelf_Upper_Shelf_CUSTOMER_INTERACTION_20260727_205142_frame_222.jpg,Customer approached shelf and started interacting.
2026-07-27 20:51:42,Lower_Shelf_CUSTOMER_INTERACTION_224,Lower_Shelf,CUSTOMER_INTERACTION,8,224,shelf_Lower_Shelf_CUSTOMER_INTERACTION_20260727_205142_frame_224.jpg,Customer approached shelf and started interacting.
2026-07-27 20:51:42,Upper_Shelf_LOW_STOCK_227,Upper_Shelf,LOW_STOCK,1,227,shelf_Upper_Shelf_LOW_STOCK_20260727_205142_frame_227.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 1 items.
2026-07-27 20:51:42,Lower_Shelf_EMPTY_227,Lower_Shelf,EMPTY,0,227,shelf_Lower_Shelf_EMPTY_20260727_205142_frame_227.jpg,Stock transitioned from FULLY_STOCKED to EMPTY. Count: 0 items.
2026-07-27 20:51:46,Upper_Shelf_EMPTY_292,Upper_Shelf,EMPTY,0,292,shelf_Upper_Shelf_EMPTY_20260727_205146_frame_292.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:51:46,Lower_Shelf_LOW_STOCK_302,Lower_Shelf,LOW_STOCK,1,302,shelf_Lower_Shelf_LOW_STOCK_20260727_205146_frame_302.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:51:46,Lower_Shelf_NORMAL_305,Lower_Shelf,NORMAL,3,305,shelf_Lower_Shelf_NORMAL_20260727_205146_frame_305.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:51:47,Upper_Shelf_LOW_STOCK_320,Upper_Shelf,LOW_STOCK,1,320,shelf_Upper_Shelf_LOW_STOCK_20260727_205147_frame_320.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:51:48,Lower_Shelf_LOW_STOCK_332,Lower_Shelf,LOW_STOCK,1,332,shelf_Lower_Shelf_LOW_STOCK_20260727_205148_frame_332.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 1 items.
2026-07-27 20:51:48,Lower_Shelf_EMPTY_333,Lower_Shelf,EMPTY,0,333,shelf_Lower_Shelf_EMPTY_20260727_205148_frame_333.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:51:54,Lower_Shelf_LOW_STOCK_432,Lower_Shelf,LOW_STOCK,2,432,shelf_Lower_Shelf_LOW_STOCK_20260727_205154_frame_432.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:02,Lower_Shelf_NORMAL_553,Lower_Shelf,NORMAL,3,553,shelf_Lower_Shelf_NORMAL_20260727_205202_frame_553.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:02,Lower_Shelf_LOW_STOCK_557,Lower_Shelf,LOW_STOCK,2,557,shelf_Lower_Shelf_LOW_STOCK_20260727_205202_frame_557.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:03,Upper_Shelf_EMPTY_566,Upper_Shelf,EMPTY,0,566,shelf_Upper_Shelf_EMPTY_20260727_205203_frame_566.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:11,Lower_Shelf_EMPTY_690,Lower_Shelf,EMPTY,0,690,shelf_Lower_Shelf_EMPTY_20260727_205211_frame_690.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:11,Upper_Shelf_LOW_STOCK_698,Upper_Shelf,LOW_STOCK,1,698,shelf_Upper_Shelf_LOW_STOCK_20260727_205211_frame_698.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:13,Upper_Shelf_EMPTY_733,Upper_Shelf,EMPTY,0,733,shelf_Upper_Shelf_EMPTY_20260727_205213_frame_733.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:16,Upper_Shelf_LOW_STOCK_797,Upper_Shelf,LOW_STOCK,1,797,shelf_Upper_Shelf_LOW_STOCK_20260727_205216_frame_797.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:19,Lower_Shelf_LOW_STOCK_841,Lower_Shelf,LOW_STOCK,1,841,shelf_Lower_Shelf_LOW_STOCK_20260727_205219_frame_841.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:20,Upper_Shelf_EMPTY_855,Upper_Shelf,EMPTY,0,855,shelf_Upper_Shelf_EMPTY_20260727_205220_frame_855.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:25,Lower_Shelf_EMPTY_934,Lower_Shelf,EMPTY,0,934,shelf_Lower_Shelf_EMPTY_20260727_205225_frame_934.jpg,Stock transitioned from LOW_STOCK to EMPTY. Count: 0 items.
2026-07-27 20:52:26,Lower_Shelf_LOW_STOCK_948,Lower_Shelf,LOW_STOCK,1,948,shelf_Lower_Shelf_LOW_STOCK_20260727_205226_frame_948.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:27,Upper_Shelf_LOW_STOCK_973,Upper_Shelf,LOW_STOCK,1,973,shelf_Upper_Shelf_LOW_STOCK_20260727_205227_frame_973.jpg,Stock transitioned from EMPTY to LOW_STOCK. Count: 1 items.
2026-07-27 20:52:28,Upper_Shelf_NORMAL_992,Upper_Shelf,NORMAL,3,992,shelf_Upper_Shelf_NORMAL_20260727_205228_frame_992.jpg,Stock transitioned from LOW_STOCK to NORMAL. Count: 3 items.
2026-07-27 20:52:28,Upper_Shelf_LOW_STOCK_995,Upper_Shelf,LOW_STOCK,2,995,shelf_Upper_Shelf_LOW_STOCK_20260727_205228_frame_995.jpg,Stock transitioned from NORMAL to LOW_STOCK. Count: 2 items.
2026-07-27 20:52:29,Upper_Shelf_STOCK_DEPLETION_1005,Upper_Shelf,STOCK_DEPLETION,2,1005,shelf_Upper_Shelf_STOCK_DEPLETION_20260727_205229_frame_1005.jpg,Stock decreased from 3 to 2 items.
2026-07-27 20:52:29,Lower_Shelf_STOCK_DEPLETION_1005,Lower_Shelf,STOCK_DEPLETION,2,1005,shelf_Lower_Shelf_STOCK_DEPLETION_20260727_205229_frame_1005.jpg,Stock decreased from 8 to 2 items.
