Frame,Timestamp,Raw Occupancy (%),Smoothed Occupancy (%),Traffic Level,Vehicles in ROI
1,2026-07-12 15:26:02.372,0.0,0.0,Low,0
2,2026-07-12 15:26:02.548,0.0,0.0,Low,0
3,2026-07-12 15:26:02.639,0.0,0.0,Low,0
4,2026-07-12 15:26:02.730,0.0,0.0,Low,0
5,2026-07-12 15:26:02.821,0.0,0.0,Low,0
6,2026-07-12 15:26:02.916,0.0,0.0,Low,0
7,2026-07-12 15:26:03.010,0.0,0.0,Low,0
8,2026-07-12 15:26:03.113,0.0,0.0,Low,0
9,2026-07-12 15:26:03.211,0.0,0.0,Low,0
10,2026-07-12 15:26:03.307,0.0,0.0,Low,0
11,2026-07-12 15:26:03.398,0.0,0.0,Low,0
12,2026-07-12 15:26:03.492,0.0,0.0,Low,0
13,2026-07-12 15:26:03.578,0.0,0.0,Low,0
14,2026-07-12 15:26:03.660,0.0,0.0,Low,0
15,2026-07-12 15:26:03.743,0.0,0.0,Low,0
16,2026-07-12 15:26:03.826,0.0,0.0,Low,0
17,2026-07-12 15:26:03.917,0.0,0.0,Low,0
18,2026-07-12 15:26:04.000,0.0,0.0,Low,0
19,2026-07-12 15:26:04.088,0.0,0.0,Low,0
20,2026-07-12 15:26:04.175,0.0,0.0,Low,0
21,2026-07-12 15:26:04.258,0.0,0.0,Low,0
22,2026-07-12 15:26:04.350,0.0,0.0,Low,0
23,2026-07-12 15:26:04.437,0.0,0.0,Low,0
24,2026-07-12 15:26:04.524,0.0,0.0,Low,0
25,2026-07-12 15:26:04.605,0.0,0.0,Low,0
26,2026-07-12 15:26:04.693,0.0,0.0,Low,0
27,2026-07-12 15:26:04.780,0.0,0.0,Low,0
28,2026-07-12 15:26:04.862,0.0,0.0,Low,0
29,2026-07-12 15:26:04.947,0.0,0.0,Low,0
30,2026-07-12 15:26:05.032,0.0,0.0,Low,0
31,2026-07-12 15:26:05.119,0.0,0.0,Low,0
32,2026-07-12 15:26:05.201,0.0,0.0,Low,0
33,2026-07-12 15:26:05.287,0.0,0.0,Low,0
34,2026-07-12 15:26:05.375,0.0,0.0,Low,0
35,2026-07-12 15:26:05.463,0.0,0.0,Low,0
36,2026-07-12 15:26:05.550,0.0,0.0,Low,0
37,2026-07-12 15:26:05.638,0.0,0.0,Low,0
38,2026-07-12 15:26:05.723,0.0,0.0,Low,0
39,2026-07-12 15:26:05.812,0.0,0.0,Low,0
40,2026-07-12 15:26:05.902,0.0,0.0,Low,0
41,2026-07-12 15:26:05.991,0.0,0.0,Low,0
42,2026-07-12 15:26:06.076,0.0,0.0,Low,0
43,2026-07-12 15:26:06.167,0.0,0.0,Low,0
44,2026-07-12 15:26:06.247,0.0,0.0,Low,0
45,2026-07-12 15:26:06.334,0.0,0.0,Low,0
46,2026-07-12 15:26:06.419,0.0,0.0,Low,0
47,2026-07-12 15:26:06.507,0.0,0.0,Low,0
48,2026-07-12 15:26:06.594,0.0,0.0,Low,0
49,2026-07-12 15:26:06.682,0.0,0.0,Low,0
50,2026-07-12 15:26:06.773,0.0,0.0,Low,0
51,2026-07-12 15:26:06.861,0.0,0.0,Low,0
52,2026-07-12 15:26:06.943,0.0,0.0,Low,0
53,2026-07-12 15:26:07.026,0.0,0.0,Low,0
54,2026-07-12 15:26:07.111,0.0,0.0,Low,0
55,2026-07-12 15:26:07.249,0.0,0.0,Low,0
56,2026-07-12 15:26:07.340,0.0,0.0,Low,0
57,2026-07-12 15:26:07.434,0.0,0.0,Low,0
58,2026-07-12 15:26:07.525,0.0,0.0,Low,0
59,2026-07-12 15:26:07.612,0.0,0.0,Low,0
60,2026-07-12 15:26:07.709,0.0,0.0,Low,0
61,2026-07-12 15:26:07.794,0.0,0.0,Low,0
62,2026-07-12 15:26:07.888,0.0,0.0,Low,0
63,2026-07-12 15:26:07.978,0.0,0.0,Low,0
64,2026-07-12 15:26:08.065,0.0,0.0,Low,0
65,2026-07-12 15:26:08.153,0.0,0.0,Low,0
66,2026-07-12 15:26:08.241,0.0,0.0,Low,0
67,2026-07-12 15:26:08.331,0.0,0.0,Low,0
68,2026-07-12 15:26:08.413,0.0,0.0,Low,0
69,2026-07-12 15:26:08.502,0.0,0.0,Low,0
70,2026-07-12 15:26:08.589,0.0,0.0,Low,0
71,2026-07-12 15:26:08.676,0.0,0.0,Low,0
72,2026-07-12 15:26:08.759,0.0,0.0,Low,0
73,2026-07-12 15:26:08.846,0.0,0.0,Low,0
74,2026-07-12 15:26:08.931,0.0,0.0,Low,0
75,2026-07-12 15:26:09.021,0.0,0.0,Low,0
76,2026-07-12 15:26:09.108,0.0,0.0,Low,0
77,2026-07-12 15:26:09.196,0.0,0.0,Low,0
78,2026-07-12 15:26:09.283,0.0,0.0,Low,0
79,2026-07-12 15:26:09.367,0.0,0.0,Low,0
80,2026-07-12 15:26:09.452,0.0,0.0,Low,0
81,2026-07-12 15:26:09.540,0.0,0.0,Low,0
82,2026-07-12 15:26:09.626,0.0,0.0,Low,0
83,2026-07-12 15:26:09.718,0.0,0.0,Low,0
84,2026-07-12 15:26:09.800,0.0,0.0,Low,0
85,2026-07-12 15:26:09.888,0.0,0.0,Low,0
86,2026-07-12 15:26:09.973,0.0,0.0,Low,0
87,2026-07-12 15:26:10.060,0.0,0.0,Low,0
88,2026-07-12 15:26:10.146,0.0,0.0,Low,0
89,2026-07-12 15:26:10.232,0.0,0.0,Low,0
90,2026-07-12 15:26:10.318,0.0,0.0,Low,0
91,2026-07-12 15:26:10.407,0.0,0.0,Low,0
92,2026-07-12 15:26:10.495,0.0,0.0,Low,0
93,2026-07-12 15:26:10.584,0.0,0.0,Low,0
94,2026-07-12 15:26:10.673,0.0,0.0,Low,0
95,2026-07-12 15:26:10.755,0.0,0.0,Low,0
96,2026-07-12 15:26:10.841,0.0,0.0,Low,0
97,2026-07-12 15:26:10.930,0.0,0.0,Low,0
98,2026-07-12 15:26:11.011,0.0,0.0,Low,0
99,2026-07-12 15:26:11.101,0.0,0.0,Low,0
100,2026-07-12 15:26:11.185,0.0,0.0,Low,0
101,2026-07-12 15:26:11.270,0.0,0.0,Low,0
102,2026-07-12 15:26:11.388,0.0,0.0,Low,0
103,2026-07-12 15:26:11.484,0.0,0.0,Low,0
104,2026-07-12 15:26:11.569,0.0,0.0,Low,0
105,2026-07-12 15:26:11.654,0.0,0.0,Low,0
106,2026-07-12 15:26:11.743,0.0,0.0,Low,0
107,2026-07-12 15:26:11.834,0.0,0.0,Low,0
108,2026-07-12 15:26:11.916,0.0,0.0,Low,0
109,2026-07-12 15:26:12.007,0.0,0.0,Low,0
110,2026-07-12 15:26:12.091,0.0,0.0,Low,0
111,2026-07-12 15:26:12.182,0.0,0.0,Low,0
112,2026-07-12 15:26:12.271,0.0,0.0,Low,0
113,2026-07-12 15:26:12.356,0.0,0.0,Low,0
114,2026-07-12 15:26:12.441,0.0,0.0,Low,0
115,2026-07-12 15:26:12.527,0.0,0.0,Low,0
116,2026-07-12 15:26:12.607,0.0,0.0,Low,0
117,2026-07-12 15:26:12.701,0.0,0.0,Low,0
118,2026-07-12 15:26:12.785,0.0,0.0,Low,0
